seed = 0xa32aefd9 = 2737500121 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xa3409fbd = 2738921405 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xa3489147 = 2739441991 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xa3ebd70c = 2750142220 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xab13286e = 2870159470 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xaad86f32 = 2866310962 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xaa6362e3 = 2858640099 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xacac07ce = 2896955342 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xad323dfe = 2905751038 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xac4282a7 = 2890039975 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xae874c7e = 2928102526 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb1356da9 = 2973068713 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb0718e20 = 2960231968 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb2b6b735 = 2998318901 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb33f79da = 3007281626 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb69ca029 = 3063717929 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb88a7502 = 3096081666 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xb8b1eeb6 = 3098668726 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xba966cd4 = 3130420436 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xbabd821f = 3132981791 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xbdc7f890 = 3183999120 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xbcce3bea = 3167632362 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xbcdd0616 = 3168601622 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xbe8df718 = 3196974872 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xbf451762 = 3208976226 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc095e4c1 = 3231048897 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc0c60d4e = 3234205006 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc0dac2b9 = 3235562169 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc167830c = 3244786444 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc3bb7044 = 3283841092 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc4a7523d = 3299299901 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc5e956d7 = 3320403671 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc4ed9f44 = 3303907140 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc4edc15d = 3303915869 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc708727b = 3339219579 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc7c4e077 = 3351568503 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc8c734c1 = 3368498369 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xc85973ec = 3361305580 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xca8df0bb = 3398299835 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xcba66b69 = 3416681321 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xca3e4a28 = 3393079848 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xcbdbc2dc = 3420177116 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xcd235ef6 = 3441647350 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xcd56b46d = 3445011565 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xce2e6e56 = 3459149398 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd06dadc8 = 3496848840 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd38cc3f7 = 3549217783 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd21ff7ee = 3525310446 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd2f24b67 = 3539094375 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd514cb8a = 3574909834 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd5cc30da = 3586928858 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd4ea7840 = 3572136000 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd7a0ae7e = 3617631870 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd6ab6fa3 = 3601559459 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd888b302 = 3632837378 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xd9356641 = 3644155457 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdb8c835e = 3683418974 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdb1e5bdb = 3676199899 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdaae1d90 = 3668843920 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdc1e959c = 3692991900 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdcb81b8b = 3703053195 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xde96305a = 3734384730 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdfccd489 = 3754742921 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xded71d9d = 3738639773 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xdfec04b9 = 3756786873 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xde7ff8fd = 3732928765 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe0e5959a = 3773142426 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe300f9ef = 3808492015 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe20fd623 = 3792688675 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe2d17bc9 = 3805379529 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe5876923 = 3850856739 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe6cbfd4f = 3872128335 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe7fbd893 = 3892041875 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe9af8bef = 3920595951 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe8371a93 = 3895925395 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xe94d14a0 = 3914142880 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xeaae3ba2 = 3937287074 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xeabf2cad = 3938397357 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xeae16348 = 3940639560 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xeca107a1 = 3969976225 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xed768f10 = 3983970064 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xeea7e628 = 4003980840 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xee4bae18 = 3997937176 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xee6bebc8 = 4000050120 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf1ca6bfa = 4056574970 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf1f18aac = 4059138732 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf3bf9c82 = 4089420930 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf2ca9917 = 4073363735 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf24e3fe7 = 4065214439 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf3676662 = 4083639906 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf374317e = 4084478334 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf2fffb22 = 4076862242 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf52fa142 = 4113539394 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf5f51220 = 4126478880 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf7a1e51f = 4154582303 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf62f90e9 = 4130312425 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf737913c = 4147614012 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf7dc1927 = 4158396711 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xf97e1062 = 4185788514 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xfb175ff6 = 4212613110 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xfbd769ef = 4225198575 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xfd9531f0 = 4254413296 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xfc724a75 = 4235348597 (PHP 5.2.1 to 7.0.x; HHVM)
